iso3c,variant,common_string,regex
LAO,老挝,,老挝|寮国|寮人民民主共和国
LAO,老挝人民民主共和国,,老挝|寮国|寮人民民主共和国
LAO,寮国,,老挝|寮国|寮人民民主共和国
LAO,寮人民民主共和国,,老挝|寮国|寮人民民主共和国
LBN,黎巴嫩,黎巴嫩,黎巴嫩
LBN,黎巴嫩共和国,黎巴嫩,黎巴嫩
LBR,利比里亚,比,(赖比瑞|利比里)亚
LBR,利比里亚共和国,比,(赖比瑞|利比里)亚
LBR,赖比瑞亚,比,(赖比瑞|利比里)亚
LBR,赖比瑞亚共和国,比,(赖比瑞|利比里)亚
LBY,利比亚,利比亚,利比亚
LBY,利比亚国,利比亚,利比亚
LCA,圣卢西亚,西亚,圣(露|卢)西亚
LCA,圣露西亚,西亚,圣(露|卢)西亚
LIE,列支敦士登,列支敦,列支敦(斯|士)登
LIE,列支敦士登亲王国,列支敦,列支敦(斯|士)登
LIE,列支敦士登侯国,列支敦,列支敦(斯|士)登
LIE,列支敦士登公国,列支敦,列支敦(斯|士)登
LIE,列支敦斯登,列支敦,列支敦(斯|士)登
LIE,列支敦斯登亲王国,列支敦,列支敦(斯|士)登
LIE,列支敦斯登侯国,列支敦,列支敦(斯|士)登
LIE,列支敦斯登公国,列支敦,列支敦(斯|士)登
LKA,斯里兰卡,兰,斯里兰卡|锡兰
LKA,斯里兰卡民主社会主义共和国,兰,斯里兰卡|锡兰
LKA,锡兰,兰,斯里兰卡|锡兰
LSO,莱索托,索托,(赖|莱)索托
LSO,莱索托王国,索托,(赖|莱)索托
LSO,赖索托,索托,(赖|莱)索托
LSO,赖索托王国,索托,(赖|莱)索托
LTU,立陶宛,立陶宛,立陶宛
LTU,立陶宛共和国,立陶宛,立陶宛
LUX,卢森堡,卢森堡,卢森堡
LUX,卢森堡大公国,卢森堡,卢森堡
LVA,拉脱维亚,拉脱维亚,拉脱维亚
LVA,拉脱维亚共和国,拉脱维亚,拉脱维亚
MAC,澳门,澳,澳
MAC,澳,澳,澳
MAF,法属圣马丁,圣马丁,圣马丁
MAF,圣马丁,圣马丁,圣马丁
MAF,圣马丁集体,圣马丁,圣马丁
MAR,摩洛哥,摩洛哥,摩洛哥
MAR,摩洛哥王国,摩洛哥,摩洛哥
MCO,摩纳哥,摩纳哥,摩纳哥
MCO,摩纳哥公国,摩纳哥,摩纳哥
MCO,摩纳哥侯国,摩纳哥,摩纳哥
MCO,摩纳哥亲王国,摩纳哥,摩纳哥
MDA,摩尔多瓦,摩尔多瓦,摩尔多瓦
MDA,摩尔多瓦共和国,摩尔多瓦,摩尔多瓦
MDG,马达加斯加,马,马(达加斯加|拉加西|尔加什)
MDG,马达加斯加共和国,马,马(达加斯加|拉加西|尔加什)
MDG,马尔加什共和国,马,马(达加斯加|拉加西|尔加什)
MDG,马拉加西共和国,马,马(达加斯加|拉加西|尔加什)
MDV,马尔代夫,,马尔(代|地)夫
MDV,马尔代夫共和国,,马尔(代|地)夫
MDV,溜山,,马尔(代|地)夫
MDV,马尔地夫,,马尔(代|地)夫
MDV,马尔地夫共和国,,马尔(代|地)夫
MEX,墨西哥,墨西哥,墨西哥
MEX,墨西哥合众国,墨西哥,墨西哥
MHL,马绍尔群岛,马绍尔,马绍尔
MHL,马绍尔群岛共和国,马绍尔,马绍尔
MHL,马绍尔,马绍尔,马绍尔
MKD,北马其顿,马其顿,马其顿
MKD,北马其顿共和国,马其顿,马其顿
MKD,马其顿共和国,马其顿,马其顿
MKD,马其顿,马其顿,马其顿
MLI,马里,马,(?<!(圣|索))马(利|里)
MLI,马里共和国,马,(?<!(圣|索))马(利|里)
MLI,马利,马,(?<!(圣|索))马(利|里)
MLI,马利共和国,马,(?<!(圣|索))马(利|里)
MLT,马耳他,马,马(尔|耳)他
MLT,马耳他共和国,马,马(尔|耳)他
MLT,马尔他,马,马(尔|耳)他
MLT,马尔他共和国,马,马(尔|耳)他
MMR,缅甸,缅甸,缅甸
MMR,缅甸联邦共和国,缅甸,缅甸
MNE,黑山,,黑山|蒙特内哥罗
MNE,蒙特内哥罗,,黑山|蒙特内哥罗
MNG,蒙古国,蒙古,蒙古
MNG,蒙古,蒙古,蒙古
MNP,北马里亚纳群岛,纳群岛,
MNP,北马里亚纳群岛自由邦,纳群岛,
MNP,北马利安纳群岛,纳群岛,
MNP,北马利安纳群岛邦,纳群岛,
MOZ,莫桑比克,比克,莫(三|桑)比克
MOZ,莫桑比克共和国,比克,莫(三|桑)比克
MOZ,莫三比克,比克,莫(三|桑)比克
MOZ,莫三比克共和国,比克,莫(三|桑)比克
MRT,毛里塔尼亚,塔尼亚,(茅利|毛里)塔尼亚
MRT,毛里塔尼亚伊斯兰共和国,塔尼亚,(茅利|毛里)塔尼亚
MRT,茅利塔尼亚,塔尼亚,(茅利|毛里)塔尼亚
MRT,茅利塔尼亚伊斯兰共和国,塔尼亚,(茅利|毛里)塔尼亚
MSR,蒙特塞拉特,蒙,
MSR,蒙哲腊,蒙,
MTQ,马提尼克,尼克,
MTQ,马丁尼克,尼克,
MUS,毛里求斯,里,(模|毛)里(西|求|裘)斯
MUS,毛里求斯共和国,里,(模|毛)里(西|求|裘)斯
MUS,毛里裘斯,里,(模|毛)里(西|求|裘)斯
MUS,毛里裘斯共和国,里,(模|毛)里(西|求|裘)斯
MUS,模里西斯,里,(模|毛)里(西|求|裘)斯
MUS,模里西斯共和国,里,(模|毛)里(西|求|裘)斯
MWI,马拉维,马拉,马拉(威|维)
MWI,马拉维共和国,马拉,马拉(威|维)
MWI,马拉威,马拉,马拉(威|维)
MWI,马拉威共和国,马拉,马拉(威|维)
MYS,马来西亚,马来西亚,马来西亚
MYT,马约特,马约特,马约特
MYT,马约特省,马约特,马约特
"NAM",纳米比亚,纳米比亚,纳米比亚
"NAM",纳米比亚共和国,纳米比亚,纳米比亚
NCL,新喀里多尼亚,新喀里多尼亚,新喀里多尼亚
NER,尼日尔,尼日,尼日(?!利亚)
NER,尼日尔共和国,尼日,尼日(?!利亚)
NER,尼日,尼日,尼日(?!利亚)
NER,尼日共和国,尼日,尼日(?!利亚)
NFK,诺福克岛,诺福克岛,诺福克岛
NGA,尼日利亚,利亚,(奈及|尼日)利亚
NGA,尼日利亚联邦共和国,利亚,(奈及|尼日)利亚
NGA,奈及利亚,利亚,(奈及|尼日)利亚
NGA,奈及利亚联邦共和国,利亚,(奈及|尼日)利亚
NIC,尼加拉瓜,尼加拉瓜,尼加拉瓜
NIC,尼加拉瓜共和国,尼加拉瓜,尼加拉瓜
NIU,纽埃,纽,纽(埃|威)
NIU,纽威,纽,纽(埃|威)
NLD,荷兰,荷兰,荷兰|尼德兰
NOR,挪威,挪威,挪威
NOR,挪威王国,挪威,挪威
NPL,尼泊尔,尼泊尔,尼泊尔
NPL,尼泊尔联邦民主共和国,尼泊尔,尼泊尔
NRU,瑙鲁,鲁,(诺|瑙)鲁
NRU,瑙鲁共和国,鲁,(诺|瑙)鲁
NRU,诺鲁,鲁,(诺|瑙)鲁
NRU,诺鲁共和国,鲁,(诺|瑙)鲁
NZL,新西兰,,(新|纽)西兰
NZL,奥特亚罗瓦,,(新|纽)西兰
NZL,纽西兰,,(新|纽)西兰
OMN,阿曼,阿曼,阿曼
OMN,阿曼苏丹国,阿曼,阿曼
PAK,巴基斯坦,巴基斯坦,巴基斯坦
PAK,巴基斯坦伊斯兰共和国,巴基斯坦,巴基斯坦
PAN,巴拿马,巴拿马,巴拿马
PAN,巴拿马共和国,巴拿马,巴拿马
PCN,皮特凯恩群岛,皮特,
PCN,皮特凯恩岛,皮特,
PCN,皮特肯群岛,皮特,
PCN,皮特肯岛,皮特,
PER,秘鲁,秘鲁,秘鲁
PER,秘鲁共和国,秘鲁,秘鲁
PHL,菲律宾,菲律宾,菲律宾
PHL,菲律宾共和国,菲律宾,菲律宾
PLW,帕劳,,帛琉|帕劳
PLW,帕劳共和国,,帛琉|帕劳
PLW,帛琉,,帛琉|帕劳
PLW,帛琉共和国,,帛琉|帕劳
PNG,巴布亚新几内亚,巴,巴布亚(纽|新)(几|畿)内亚|巴(纽|新)
PNG,巴布亚新几内亚独立国,巴,巴布亚(纽|新)(几|畿)内亚|巴(纽|新)
PNG,巴新,巴,巴布亚(纽|新)(几|畿)内亚|巴(纽|新)
PNG,巴布亚新畿内亚,巴,巴布亚(纽|新)(几|畿)内亚|巴(纽|新)
PNG,巴布亚新畿内亚独立国,巴,巴布亚(纽|新)(几|畿)内亚|巴(纽|新)
PNG,巴布亚纽几内亚,巴,巴布亚(纽|新)(几|畿)内亚|巴(纽|新)
PNG,巴布亚纽几内亚独立国,巴,巴布亚(纽|新)(几|畿)内亚|巴(纽|新)
PNG,巴纽,巴,巴布亚(纽|新)(几|畿)内亚|巴(纽|新)
POL,波兰,波兰,波兰
POL,波兰共和国,波兰,波兰
PRI,波多黎各,波多黎各,波多黎各
PRI,波多黎各自由邦,波多黎各,波多黎各
PRK,朝鲜民主主义人民共和国,,朝鲜|北韩
PRK,朝鲜,,朝鲜|北韩
PRK,北韩,,朝鲜|北韩
PRT,葡萄牙,葡,葡萄牙|葡国
PRT,葡萄牙共和国,葡,葡萄牙|葡国
PRT,葡国,葡,葡萄牙|葡国
PRY,巴拉圭,巴拉圭,巴拉圭
PRY,巴拉圭共和国,巴拉圭,巴拉圭
PSE,巴勒斯坦国,巴勒斯坦,巴勒斯坦
PSE,巴勒斯坦,巴勒斯坦,巴勒斯坦
PYF,法属波利尼西亚,尼西亚,
PYF,法属玻里尼西亚,尼西亚,
QAT,卡塔尔,卡,卡(达|塔)
QAT,卡塔尔国,卡,卡(达|塔)
QAT,卡达,卡,卡(达|塔)
QAT,卡达国,卡,卡(达|塔)
REU,留尼汪,留尼,
REU,留尼旺,留尼,
ROU,罗马尼亚,罗马尼亚,罗马尼亚
RUS,俄罗斯,俄罗斯,(?<!白)俄罗斯
RUS,俄罗斯联邦,俄罗斯,(?<!白)俄罗斯
RWA,卢旺达,卢,卢(安达|旺达)
RWA,卢旺达共和国,卢,卢(安达|旺达)
RWA,卢安达,卢,卢(安达|旺达)
RWA,卢安达共和国,卢,卢(安达|旺达)
SAU,沙特阿拉伯,沙,沙(特|地|乌地)
SAU,沙特阿拉伯,沙,沙(特|地|乌地)
SAU,沙特,沙,沙(特|地|乌地)
SAU,沙乌地阿拉伯,沙,沙(特|地|乌地)
SAU,沙地阿拉伯,沙,沙(特|地|乌地)
SAU,沙地阿拉伯王国,沙,沙(特|地|乌地)
SAU,沙地,沙,沙(特|地|乌地)
SAU,沙乌地阿拉伯王国,沙,沙(特|地|乌地)
SAU,沙乌地,沙,沙(特|地|乌地)
SDN,苏丹,苏丹,(?<!(阿曼|南))苏丹
SDN,苏丹共和国,苏丹,(?<!(阿曼|南))苏丹
SDN,北苏丹,苏丹,(?<!(阿曼|南))苏丹
SEN,塞内加尔,塞内加尔,塞内加尔
SEN,塞内加尔共和国,塞内加尔,塞内加尔
SGP,新加坡,,(新|星)加坡|狮城|星(国|洲)
SGP,新加坡共和国,,(新|星)加坡|狮城|星(国|洲)
SGP,狮城,,(新|星)加坡|狮城|星(国|洲)
SGP,星国,,(新|星)加坡|狮城|星(国|洲)
SGP,星洲,,(新|星)加坡|狮城|星(国|洲)
SGP,星加坡,,(新|星)加坡|狮城|星(国|洲)
SGS,南乔治亚和南桑威奇群岛,治亚,
SGS,南佐治亚及南三文治群岛,治亚,
SGS,南乔治亚与南桑威奇群岛,治亚,
SHN,圣赫勒拿、阿森松和特里斯坦-达库尼亚,、,
SHN,圣海伦娜、阿森松和崔斯坦达库尼亚,、,
SHN,圣赫勒拿、亚森欣与崔斯坦达库尼亚,、,
SHN,圣赫勒拿、亚森欣和崔斯坦达库尼亚,、,
SJM,斯瓦尔巴和扬马延,巴和扬马延,
SJM,斯瓦巴和扬马延,巴和扬马延,
SLB,所罗门群岛,罗门群岛,(索|所)罗门群岛
SLB,索罗门群岛,罗门群岛,(索|所)罗门群岛
SLE,塞拉利昂,,塞拉利昂|狮子山
SLE,塞拉利昂共和国,,塞拉利昂|狮子山
SLE,狮子山共和国,,塞拉利昂|狮子山
SLE,狮子山,,塞拉利昂|狮子山
SLV,萨尔瓦多,萨尔瓦多,萨尔瓦多
SLV,萨尔瓦多共和国,萨尔瓦多,萨尔瓦多
SMR,圣马力诺,圣马,圣马(利|力)诺
SMR,最庄严尊贵的圣马力诺共和国,圣马,圣马(利|力)诺
SMR,圣马力诺共和国,圣马,圣马(利|力)诺
SMR,圣马利诺,圣马,圣马(利|力)诺
SMR,最庄严尊贵的圣马利诺共和国,圣马,圣马(利|力)诺
SMR,圣马利诺共和国,圣马,圣马(利|力)诺
SOM,索马里,索马,索马(利|里)(?!兰)
SOM,索马里联邦共和国,索马,索马(利|里)(?!兰)
SOM,索马利亚,索马,索马(利|里)(?!兰)
SOM,索马利亚联邦共和国,索马,索马(利|里)(?!兰)
SPM,圣皮埃尔和密克隆,圣皮埃,
SPM,圣皮埃与密克隆群岛,圣皮埃,
SPM,圣皮埃与密克隆,圣皮埃,
SRB,塞尔维亚,塞尔维亚,塞尔维亚
SRB,塞尔维亚共和国,塞尔维亚,塞尔维亚
SSD,南苏丹,南苏丹,南苏丹
SSD,南苏丹共和国,南苏丹,南苏丹
STP,圣多美和普林西比,圣,"圣多美.{0,2}普林西比|圣普"
STP,圣多美和普林西比民主共和国,圣,"圣多美.{0,2}普林西比|圣普"
STP,圣普,圣,"圣多美.{0,2}普林西比|圣普"
STP,圣多美普林西比,圣,"圣多美.{0,2}普林西比|圣普"
STP,圣多美普林西比民主共和国,圣,"圣多美.{0,2}普林西比|圣普"
SUR,苏里南,苏,苏(利|里)南
SUR,苏里南共和国,苏,苏(利|里)南
SUR,苏利南,苏,苏(利|里)南
SUR,苏利南共和国,苏,苏(利|里)南
SVK,斯洛伐克,斯洛伐克,斯洛伐克
SVK,斯洛伐克共和国,斯洛伐克,斯洛伐克
SVN,斯洛文尼亚,斯洛,斯洛(维|文)尼亚
SVN,斯洛文尼亚共和国,斯洛,斯洛(维|文)尼亚
SVN,斯洛维尼亚,斯洛,斯洛(维|文)尼亚
SVN,斯洛维尼亚共和国,斯洛,斯洛(维|文)尼亚
SWE,瑞典,瑞典,瑞典
SWE,瑞典王国,瑞典,瑞典
SWZ,斯威士兰,,史瓦帝尼|斯威士兰
SWZ,斯威士兰王国,,史瓦帝尼|斯威士兰
SWZ,史瓦帝尼,,史瓦帝尼|斯威士兰
SWZ,史瓦帝尼王国,,史瓦帝尼|斯威士兰
SXM,荷属圣马丁,圣马丁,圣马丁
SXM,圣马丁,圣马丁,圣马丁
SYC,塞舌尔,塞,塞(席|舌)尔
SYC,塞舌尔共和国,塞,塞(席|舌)尔
SYC,塞席尔,塞,塞(席|舌)尔
SYC,塞席尔共和国,塞,塞(席|舌)尔
SYR,叙利亚,叙利亚,叙利亚
SYR,阿拉伯叙利亚共和国,叙利亚,叙利亚
TCA,特克斯和凯科斯群岛,凯,
TCA,特凯,凯,
TCA,土克凯可群岛,凯,
TCD,乍得,,查德|乍得
TCD,乍得共和国,,查德|乍得
TCD,查德,,查德|乍得
TCD,查德共和国,,查德|乍得
TGO,多哥,多哥,多哥
TGO,多哥共和国,多哥,多哥
THA,泰国,,泰王?国|暹罗
THA,泰王国,,泰王?国|暹罗
THA,暹罗,,泰王?国|暹罗
TJK,塔吉克斯坦,塔吉克,塔吉克
TJK,塔吉克斯坦共和国,塔吉克,塔吉克
TJK,塔吉克,塔吉克,塔吉克
TJK,塔吉克共和国,塔吉克,塔吉克
TKL,托克劳,,
TKL,尤宁群岛,,
TKL,托克劳群岛,,
TKM,土库曼斯坦,土库曼,土库曼
TKM,土库曼,土库曼,土库曼
TLS,东帝汶,东帝汶,东帝汶
TLS,东帝汶民主共和国,东帝汶,东帝汶
TON,汤加,加,(东|汤)加
TON,汤加王国,加,(东|汤)加
TON,东加,加,(东|汤)加
TON,东加王国,加,(东|汤)加
TTO,特立尼达和多巴哥,,(千里|特立尼)达|特多
TTO,特立尼达和多巴哥共和国,,(千里|特立尼)达|特多
TTO,特多,,(千里|特立尼)达|特多
TTO,千里达及多巴哥,,(千里|特立尼)达|特多
TTO,千里达及多巴哥共和国,,(千里|特立尼)达|特多
TTO,千里达,,(千里|特立尼)达|特多
TTO,千里达及托巴哥,,(千里|特立尼)达|特多
TTO,千里达及托巴哥共和国,,(千里|特立尼)达|特多
TUN,突尼斯,突尼,突尼(西亚|斯)
TUN,突尼斯共和国,突尼,突尼(西亚|斯)
TUN,突尼西亚,突尼,突尼(西亚|斯)
TUN,突尼西亚共和国,突尼,突尼(西亚|斯)
TUR,土耳其,土耳其,"(?<!北(赛|塞)(普|浦).{0,5})土耳其"
TUR,土耳其共和国,土耳其,"(?<!北(赛|塞)(普|浦).{0,5})土耳其"
TUV,图瓦卢,瓦,(吐|图)瓦(鲁|卢)
TUV,吐瓦鲁,瓦,(吐|图)瓦(鲁|卢)
TWN,中国台湾,中国台湾,台湾|中华民国
TWN,中国台湾省,中国台湾,台湾|中华民国
TZA,坦桑尼亚,尼亚,坦(尚|桑)尼亚
TZA,坦桑尼亚联合共和国,尼亚,坦(尚|桑)尼亚
TZA,坦尚尼亚,尼亚,坦(尚|桑)尼亚
TZA,坦尚尼亚联合共和国,尼亚,坦(尚|桑)尼亚
UGA,乌干达,乌干达,乌干达
UGA,乌干达共和国,乌干达,乌干达
UKR,乌克兰,乌克兰,乌克兰
UMI,美国本土外小岛屿,美国本土外小岛屿,美国本土外小岛屿
URY,乌拉圭,乌拉圭,乌拉圭
URY,乌拉圭东岸共和国,乌拉圭,乌拉圭
USA,美国,美,美国|美利坚合众国
USA,美利坚合众国,美,美国|美利坚合众国
UZB,乌兹别克斯坦,乌兹别克,乌兹别克
UZB,乌兹别克斯坦共和国,乌兹别克,乌兹别克
UZB,乌兹别克,乌兹别克,乌兹别克
UZB,乌兹别克共和国,乌兹别克,乌兹别克
VAT,梵蒂冈,梵,梵(蒂|谛)冈
VAT,梵蒂冈城国,梵,梵(蒂|谛)冈
VAT,梵蒂冈城,梵,梵(蒂|谛)冈
VAT,梵谛冈,梵,梵(蒂|谛)冈
VCT,圣文森特和格林纳丁斯,圣文森,圣文森
VCT,圣文森特,圣文森,圣文森
VCT,圣文森及格瑞那丁,圣文森,圣文森
VCT,圣文森,圣文森,圣文森
VEN,委内瑞拉,委内瑞拉,委内瑞拉
VEN,委内瑞拉玻利瓦尔共和国,委内瑞拉,委内瑞拉
VEN,委内瑞拉玻利瓦共和国,委内瑞拉,委内瑞拉
VGB,英属维尔京群岛,群岛,
VGB,维尔京群岛,群岛,
VGB,英属处女群岛,群岛,
VGB,处女群岛,群岛,
VGB,英属维京群岛,群岛,
VGB,维京群岛,群岛,
VIR,美属维尔京群岛,美属,
VIR,美属处女群岛,美属,
VIR,美属维京群岛,美属,
VNM,越南,越南,越南
VNM,越南社会主义共和国,越南,越南
VUT,瓦努阿图,,万那杜|瓦努阿图
VUT,瓦努阿图共和国,,万那杜|瓦努阿图
VUT,万那杜,,万那杜|瓦努阿图
VUT,万那杜共和国,,万那杜|瓦努阿图
WLF,瓦利斯和富图纳,瓦利斯和富图,
WLF,瓦利斯和富图那,瓦利斯和富图,
WSM,萨摩亚,萨摩亚,萨摩亚
WSM,萨摩亚独立国,萨摩亚,萨摩亚
YEM,也门,门,(也|叶)门
YEM,也门共和国,门,(也|叶)门
YEM,叶门,门,(也|叶)门
YEM,叶门共和国,门,(也|叶)门
ZAF,南非,南非,南非
ZAF,南非共和国,南非,南非
ZMB,赞比亚,比亚,(尚|赞)比亚
ZMB,赞比亚共和国,比亚,(尚|赞)比亚
ZMB,尚比亚,比亚,(尚|赞)比亚
ZMB,尚比亚共和国,比亚,(尚|赞)比亚
ZWE,津巴布韦,巴,辛巴威|津巴布韦
ZWE,津巴布韦共和国,巴,辛巴威|津巴布韦
ZWE,辛巴威,巴,辛巴威|津巴布韦
ZWE,辛巴威共和国,巴,辛巴威|津巴布韦
