iso3c,language,short_name,full_name,variant_1,variant_2,variant_3,variant_4
ABW,zh_cn,阿鲁巴,阿鲁巴,NA,NA,NA,NA
ABW,zh_hk,阿魯巴,阿魯巴,NA,NA,NA,NA
ABW,zh_mo,阿魯巴,阿魯巴,NA,NA,NA,NA
ABW,zh_my,阿鲁巴,阿鲁巴,NA,NA,NA,NA
ABW,zh_sg,阿鲁巴,阿鲁巴,NA,NA,NA,NA
ABW,zh_tw,阿魯巴,阿魯巴,NA,NA,NA,NA
AFG,zh_cn,阿富汗,阿富汗,NA,NA,NA,NA
AFG,zh_hk,阿富汗,阿富汗,NA,NA,NA,NA
AFG,zh_mo,阿富汗,阿富汗,NA,NA,NA,NA
AFG,zh_my,阿富汗,阿富汗,NA,NA,NA,NA
AFG,zh_sg,阿富汗,阿富汗,NA,NA,NA,NA
AFG,zh_tw,阿富汗,阿富汗,NA,NA,NA,NA
AGO,zh_cn,安哥拉,安哥拉共和国,NA,NA,NA,NA
AGO,zh_hk,安哥拉,安哥拉共和國,NA,NA,NA,NA
AGO,zh_mo,安哥拉,安哥拉共和國,NA,NA,NA,NA
AGO,zh_my,安哥拉,安哥拉共和国,NA,NA,NA,NA
AGO,zh_sg,安哥拉,安哥拉共和国,NA,NA,NA,NA
AGO,zh_tw,安哥拉,安哥拉共和國,NA,NA,NA,NA
AIA,zh_cn,安圭拉,安圭拉,NA,NA,NA,NA
AIA,zh_hk,安圭拉,安圭拉,NA,NA,NA,NA
AIA,zh_mo,安圭拉,安圭拉,NA,NA,NA,NA
AIA,zh_my,安圭拉,安圭拉,NA,NA,NA,NA
AIA,zh_sg,安圭拉,安圭拉,NA,NA,NA,NA
AIA,zh_tw,安吉拉,安吉拉,NA,NA,NA,NA
ALA,zh_cn,奥兰,奥兰,阿赫韦南马,NA,NA,NA
ALA,zh_hk,奧蘭,奧蘭,阿赫韋南馬,NA,NA,NA
ALA,zh_mo,奧蘭,奧蘭,阿赫韋南馬,NA,NA,NA
ALA,zh_my,奥兰,奥兰,阿赫韦南马,NA,NA,NA
ALA,zh_sg,奥兰,奥兰,阿赫韦南马,NA,NA,NA
ALA,zh_tw,奧蘭,奧蘭,阿赫韋南馬,NA,NA,NA
ALB,zh_cn,阿尔巴尼亚,阿尔巴尼亚共和国,NA,NA,NA,NA
ALB,zh_hk,阿爾巴尼亞,阿爾巴尼亞共和國,NA,NA,NA,NA
ALB,zh_mo,阿爾巴尼亞,阿爾巴尼亞共和國,NA,NA,NA,NA
ALB,zh_my,阿尔巴尼亚,阿尔巴尼亚共和国,NA,NA,NA,NA
ALB,zh_sg,阿尔巴尼亚,阿尔巴尼亚共和国,NA,NA,NA,NA
ALB,zh_tw,阿爾巴尼亞,阿爾巴尼亞共和國,NA,NA,NA,NA
AND,zh_cn,安道尔,安道尔公国,NA,NA,NA,NA
AND,zh_hk,安道爾,安道爾公國,NA,NA,NA,NA
AND,zh_mo,安道爾,安道爾公國,NA,NA,NA,NA
AND,zh_my,安道尔,安道尔公国,NA,NA,NA,NA
AND,zh_sg,安道尔,安道尔公国,NA,NA,NA,NA
AND,zh_tw,安道爾,安道爾侯國,NA,NA,NA,NA
ARE,zh_cn,阿拉伯联合酋长国,阿拉伯联合酋长国,阿联酋,NA,NA,NA
ARE,zh_hk,阿拉伯聯合酋長國,阿拉伯聯合酋長國,阿聯酋,NA,NA,NA
ARE,zh_mo,阿拉伯聯合酋長國,阿拉伯聯合酋長國,阿聯酋,NA,NA,NA
ARE,zh_my,阿拉伯联合酋长国,阿拉伯联合酋长国,阿联酋,NA,NA,NA
ARE,zh_sg,阿拉伯联合酋长国,阿拉伯联合酋长国,阿联酋,NA,NA,NA
ARE,zh_tw,阿拉伯聯合大公國,阿拉伯聯合大公國,阿聯,NA,NA,NA
ARG,zh_cn,阿根廷,阿根廷共和国,NA,NA,NA,NA
ARG,zh_hk,阿根廷,阿根廷共和國,NA,NA,NA,NA
ARG,zh_mo,阿根廷,阿根廷共和國,NA,NA,NA,NA
ARG,zh_my,阿根廷,阿根廷共和国,NA,NA,NA,NA
ARG,zh_sg,阿根廷,阿根廷共和国,NA,NA,NA,NA
ARG,zh_tw,阿根廷,阿根廷共和國,NA,NA,NA,NA
ARM,zh_cn,亚美尼亚,亚美尼亚共和国,NA,NA,NA,NA
ARM,zh_hk,亞美尼亞,亞美尼亞共和國,NA,NA,NA,NA
ARM,zh_mo,亞美尼亞,亞美尼亞共和國,NA,NA,NA,NA
ARM,zh_my,亚美尼亚,亚美尼亚共和国,NA,NA,NA,NA
ARM,zh_sg,亚美尼亚,亚美尼亚共和国,NA,NA,NA,NA
ARM,zh_tw,亞美尼亞,亞美尼亞共和國,NA,NA,NA,NA
ASM,zh_cn,美属萨摩亚,美属萨摩亚,东萨摩亚,NA,NA,NA
ASM,zh_hk,美屬薩摩亞,美屬薩摩亞,東薩摩亞,NA,NA,NA
ASM,zh_mo,美屬薩摩亞,美屬薩摩亞,東薩摩亞,NA,NA,NA
ASM,zh_my,美属萨摩亚,美属萨摩亚,东萨摩亚,NA,NA,NA
ASM,zh_sg,美属萨摩亚,美属萨摩亚,东萨摩亚,NA,NA,NA
ASM,zh_tw,美屬薩摩亞,美屬薩摩亞,東薩摩亞,NA,NA,NA
ATA,zh_cn,南极洲,南极洲,NA,NA,NA,NA
ATA,zh_hk,南極洲,南極洲,NA,NA,NA,NA
ATA,zh_mo,南極洲,南極洲,NA,NA,NA,NA
ATA,zh_my,南极洲,南极洲,NA,NA,NA,NA
ATA,zh_sg,南极洲,南极洲,NA,NA,NA,NA
ATA,zh_tw,南極洲,南極洲,NA,NA,NA,NA
ATF,zh_cn,法属南部和南极领地,法属南部和南极领地,法属南部领地,NA,NA,NA
ATF,zh_hk,法屬南部和南極領地,法屬南部和南極領地,法屬南部領地,NA,NA,NA
ATF,zh_mo,法屬南部和南極領地,法屬南部和南極領地,法屬南部領地,NA,NA,NA
ATF,zh_my,法属南部和南极领地,法属南部和南极领地,法属南部领地,NA,NA,NA
ATF,zh_sg,法属南部和南极领地,法属南部和南极领地,法属南部领地,NA,NA,NA
ATF,zh_tw,法屬南部和南極領地,法屬南部和南極領地,法屬南部領地,NA,NA,NA
ATG,zh_cn,安提瓜和巴布达,安提瓜和巴布达,安巴,NA,NA,NA
ATG,zh_hk,安提瓜和巴布達,安提瓜和巴布達,安巴,NA,NA,NA
ATG,zh_mo,安提瓜和巴布達,安提瓜和巴布達,安巴,NA,NA,NA
ATG,zh_my,安提瓜和巴布达,安提瓜和巴布达,安巴,NA,NA,NA
ATG,zh_sg,安提瓜和巴布达,安提瓜和巴布达,安巴,NA,NA,NA
ATG,zh_tw,安地卡及巴布達,安地卡及巴布達,安巴,NA,NA,NA
AUS,zh_cn,澳大利亚,澳大利亚联邦,NA,NA,NA,NA
AUS,zh_hk,澳洲,澳大利亞聯邦,澳大利亞,NA,NA,NA
AUS,zh_mo,澳洲,澳大利亞聯邦,澳大利亞,NA,NA,NA
AUS,zh_my,澳大利亚,澳大利亚联邦,NA,NA,NA,NA
AUS,zh_sg,澳大利亚,澳大利亚联邦,NA,NA,NA,NA
AUS,zh_tw,澳洲,澳大利亞聯邦,澳大利亞,NA,NA,NA
AUT,zh_cn,奥地利,奥地利共和国,NA,NA,NA,NA
AUT,zh_hk,奧地利,奧地利共和國,NA,NA,NA,NA
AUT,zh_mo,奧地利,奧地利共和國,NA,NA,NA,NA
AUT,zh_my,奥地利,奥地利共和国,NA,NA,NA,NA
AUT,zh_sg,奥地利,奥地利共和国,NA,NA,NA,NA
AUT,zh_tw,奧地利,奧地利共和國,NA,NA,NA,NA
AZE,zh_cn,阿塞拜疆,阿塞拜疆共和国,NA,NA,NA,NA
AZE,zh_hk,阿塞拜疆,阿塞拜疆共和國,NA,NA,NA,NA
AZE,zh_mo,阿塞拜疆,阿塞拜疆共和國,NA,NA,NA,NA
AZE,zh_my,阿塞拜疆,阿塞拜疆共和国,NA,NA,NA,NA
AZE,zh_sg,阿塞拜疆,阿塞拜疆共和国,NA,NA,NA,NA
AZE,zh_tw,亞塞拜然,亞塞拜然共和國,NA,NA,NA,NA
BDI,zh_cn,布隆迪,布隆迪共和国,NA,NA,NA,NA
BDI,zh_hk,布隆迪,布隆迪共和國,NA,NA,NA,NA
BDI,zh_mo,布隆迪,布隆迪共和國,NA,NA,NA,NA
BDI,zh_my,布隆迪,布隆迪共和国,NA,NA,NA,NA
BDI,zh_sg,布隆迪,布隆迪共和国,NA,NA,NA,NA
BDI,zh_tw,蒲隆地,蒲隆地共和國,NA,NA,NA,NA
BEL,zh_cn,比利时,比利时王国,NA,NA,NA,NA
BEL,zh_hk,比利時,比利時王國,NA,NA,NA,NA
BEL,zh_mo,比利時,比利時王國,NA,NA,NA,NA
BEL,zh_my,比利时,比利时王国,NA,NA,NA,NA
BEL,zh_sg,比利时,比利时王国,NA,NA,NA,NA
BEL,zh_tw,比利時,比利時王國,NA,NA,NA,NA
BEN,zh_cn,贝宁,贝宁共和国,达荷美,NA,NA,NA
BEN,zh_hk,貝寧,貝寧共和國,達荷美,NA,NA,NA
BEN,zh_mo,貝寧,貝寧共和國,達荷美,NA,NA,NA
BEN,zh_my,贝宁,贝宁共和国,达荷美,NA,NA,NA
BEN,zh_sg,贝宁,贝宁共和国,达荷美,NA,NA,NA
BEN,zh_tw,貝南,貝南共和國,達荷美,NA,NA,NA
BES,zh_cn,荷兰加勒比区,荷兰加勒比区,荷属加勒比,群岛,NA,NA
BES,zh_hk,荷蘭加勒比區,荷蘭加勒比區,荷屬加勒比,群島,NA,NA
BES,zh_mo,荷蘭加勒比區,荷蘭加勒比區,荷屬加勒比,群島,NA,NA
BES,zh_my,荷兰加勒比区,荷兰加勒比区,荷属加勒比,群岛,NA,NA
BES,zh_sg,荷兰加勒比区,荷兰加勒比区,荷属加勒比,群岛,NA,NA
BES,zh_tw,荷蘭加勒比區,荷蘭加勒比區,荷屬加勒比,群島,NA,NA
BFA,zh_cn,布基纳法索,布基纳法索,NA,NA,NA,NA
BFA,zh_hk,布基納法索,布基納法索,NA,NA,NA,NA
BFA,zh_mo,布基納法索,布基納法索,NA,NA,NA,NA
BFA,zh_my,布基纳法索,布基纳法索,NA,NA,NA,NA
BFA,zh_sg,布基纳法索,布基纳法索,NA,NA,NA,NA
BFA,zh_tw,布吉納法索,布吉納法索,NA,NA,NA,NA
BGD,zh_cn,孟加拉国,孟加拉人民共和国,NA,NA,NA,NA
BGD,zh_hk,孟加拉,孟加拉人民共和國,NA,NA,NA,NA
BGD,zh_mo,孟加拉,孟加拉人民共和國,NA,NA,NA,NA
BGD,zh_my,孟加拉,孟加拉人民共和国,孟加拉国,NA,NA,NA
BGD,zh_sg,孟加拉,孟加拉人民共和国,孟加拉国,NA,NA,NA
BGD,zh_tw,孟加拉,孟加拉人民共和國,NA,NA,NA,NA
BGR,zh_cn,保加利亚,保加利亚共和国,NA,NA,NA,NA
BGR,zh_hk,保加利亞,保加利亞共和國,NA,NA,NA,NA
BGR,zh_mo,保加利亞,保加利亞共和國,NA,NA,NA,NA
BGR,zh_my,保加利亚,保加利亚共和国,NA,NA,NA,NA
BGR,zh_sg,保加利亚,保加利亚共和国,NA,NA,NA,NA
BGR,zh_tw,保加利亞,保加利亞共和國,NA,NA,NA,NA
BHR,zh_cn,巴林,巴林王国,NA,NA,NA,NA
BHR,zh_hk,巴林,巴林王國,NA,NA,NA,NA
BHR,zh_mo,巴林,巴林王國,NA,NA,NA,NA
BHR,zh_my,巴林,巴林王国,NA,NA,NA,NA
BHR,zh_sg,巴林,巴林王国,NA,NA,NA,NA
BHR,zh_tw,巴林,巴林王國,NA,NA,NA,NA
BHS,zh_cn,巴哈马,巴哈马国,NA,NA,NA,NA
BHS,zh_hk,巴哈馬,巴哈馬國,NA,NA,NA,NA
BHS,zh_mo,巴哈馬,巴哈馬國,NA,NA,NA,NA
BHS,zh_my,巴哈马,巴哈马国,NA,NA,NA,NA
BHS,zh_sg,巴哈马,巴哈马国,NA,NA,NA,NA
BHS,zh_tw,巴哈馬,巴哈馬國,NA,NA,NA,NA
BIH,zh_cn,波斯尼亚和黑塞哥维那,波斯尼亚和黑塞哥维那,波黑,波斯尼亚,NA,NA
BIH,zh_hk,波斯尼亞和黑塞哥維那,波斯尼亞和黑塞哥維那,波黑,波斯尼亞,NA,NA
BIH,zh_mo,波斯尼亞和黑塞哥維那,波斯尼亞和黑塞哥維那,波黑,波斯尼亞,NA,NA
BIH,zh_my,波斯尼亚和黑塞哥维那,波斯尼亚和黑塞哥维那,波黑,波斯尼亚,NA,NA
BIH,zh_sg,波斯尼亚和黑塞哥维那,波斯尼亚和黑塞哥维那,波黑,波斯尼亚,NA,NA
BIH,zh_tw,波士尼亞與赫塞哥維納,波士尼亞與赫塞哥維納,波赫,波士尼亞,NA,NA
BLM,zh_cn,圣巴泰勒米,圣巴泰勒米,圣巴泰勒米集体,圣巴特,NA,NA
BLM,zh_hk,聖巴泰勒米,聖巴泰勒米,聖巴泰勒米集體,聖巴特,NA,NA
BLM,zh_mo,聖巴泰勒米,聖巴泰勒米,聖巴泰勒米集體,聖巴特,NA,NA
BLM,zh_my,圣巴泰勒米,圣巴泰勒米,圣巴泰勒米集体,圣巴特,NA,NA
BLM,zh_sg,圣巴泰勒米,圣巴泰勒米,圣巴泰勒米集体,圣巴特,NA,NA
BLM,zh_tw,聖巴瑟米,聖巴瑟米,聖巴瑟米集體,聖巴特,NA,NA
BLR,zh_cn,白俄罗斯,白俄罗斯共和国,白俄,NA,NA,NA
BLR,zh_hk,白俄羅斯,白俄羅斯共和國,白俄,NA,NA,NA
BLR,zh_mo,白俄羅斯,白俄羅斯共和國,白俄,NA,NA,NA
BLR,zh_my,白俄罗斯,白俄罗斯共和国,白俄,NA,NA,NA
BLR,zh_sg,白俄罗斯,白俄罗斯共和国,白俄,NA,NA,NA
BLR,zh_tw,白俄羅斯,白俄羅斯共和國,白俄,NA,NA,NA
BLZ,zh_cn,伯利兹,伯利兹,贝里斯,NA,NA,NA
BLZ,zh_hk,伯利茲,伯利茲,貝里斯,NA,NA,NA
BLZ,zh_mo,伯利茲,伯利茲,貝里斯,NA,NA,NA
BLZ,zh_my,伯利兹,伯利兹,贝里斯,NA,NA,NA
BLZ,zh_sg,伯利兹,伯利兹,贝里斯,NA,NA,NA
BLZ,zh_tw,貝里斯,貝里斯,伯利茲,NA,NA,NA
BMU,zh_cn,百慕大,百慕大,NA,NA,NA,NA
BMU,zh_hk,百慕達,百慕達,NA,NA,NA,NA
BMU,zh_mo,百慕達,百慕達,NA,NA,NA,NA
BMU,zh_my,百慕大,百慕大,NA,NA,NA,NA
BMU,zh_sg,百慕大,百慕大,NA,NA,NA,NA
BMU,zh_tw,百慕達,百慕達,NA,NA,NA,NA
BOL,zh_cn,玻利维亚,多民族玻利维亚国,NA,NA,NA,NA
BOL,zh_hk,玻利維亞,多民族玻利維亞國,NA,NA,NA,NA
BOL,zh_mo,玻利維亞,多民族玻利維亞國,NA,NA,NA,NA
BOL,zh_my,玻利维亚,多民族玻利维亚国,NA,NA,NA,NA
BOL,zh_sg,玻利维亚,多民族玻利维亚国,NA,NA,NA,NA
BOL,zh_tw,玻利維亞,玻利維亞多民族國,NA,NA,NA,NA
BRA,zh_cn,巴西,巴西联邦共和国,NA,NA,NA,NA
BRA,zh_hk,巴西,巴西聯邦共和國,NA,NA,NA,NA
BRA,zh_mo,巴西,巴西聯邦共和國,NA,NA,NA,NA
BRA,zh_my,巴西,巴西联邦共和国,NA,NA,NA,NA
BRA,zh_sg,巴西,巴西联邦共和国,NA,NA,NA,NA
BRA,zh_tw,巴西,巴西聯邦共和國,NA,NA,NA,NA
BRB,zh_cn,巴巴多斯,巴巴多斯,巴贝多,NA,NA,NA
BRB,zh_hk,巴巴多斯,巴巴多斯,巴貝多,NA,NA,NA
BRB,zh_mo,巴巴多斯,巴巴多斯,巴貝多,NA,NA,NA
BRB,zh_my,巴巴多斯,巴巴多斯,巴贝多,NA,NA,NA
BRB,zh_sg,巴巴多斯,巴巴多斯,巴贝多,NA,NA,NA
BRB,zh_tw,巴貝多,巴貝多,巴巴多斯,NA,NA,NA
BRN,zh_cn,文莱,文莱达鲁萨兰国,文莱和平之国,NA,NA,NA
BRN,zh_hk,汶萊,汶萊達魯薩蘭國,汶萊和平之國,NA,NA,NA
BRN,zh_mo,汶萊,汶萊達魯薩蘭國,汶萊和平之國,NA,NA,NA
BRN,zh_my,汶莱,汶莱达鲁萨兰国,汶莱和平之国,NA,NA,NA
BRN,zh_sg,汶莱,汶莱达鲁萨兰国,汶莱和平之国,NA,NA,NA
BRN,zh_tw,汶萊,汶萊和平之國,汶萊達魯薩蘭國,NA,NA,NA
BTN,zh_cn,不丹,不丹王国,布鲁克巴,NA,NA,NA
BTN,zh_hk,不丹,不丹王國,布魯克巴,NA,NA,NA
BTN,zh_mo,不丹,不丹王國,布魯克巴,NA,NA,NA
BTN,zh_my,不丹,不丹王国,布鲁克巴,NA,NA,NA
BTN,zh_sg,不丹,不丹王国,布鲁克巴,NA,NA,NA
BTN,zh_tw,不丹,不丹王國,布魯克巴,NA,NA,NA
BVT,zh_cn,布韦岛,布韦岛,鲍威特岛,布威岛,NA,NA
BVT,zh_hk,鮑威特島,鮑威特島,布韋島,布威島,NA,NA
BVT,zh_mo,鮑威特島,鮑威特島,布韋島,布威島,NA,NA
BVT,zh_my,布韦岛,布韦岛,鲍威特岛,布威岛,NA,NA
BVT,zh_sg,布韦岛,布韦岛,鲍威特岛,布威岛,NA,NA
BVT,zh_tw,布威島,布威島,布韋島,鮑威特島,NA,NA
BWA,zh_cn,博茨瓦纳,博茨瓦纳共和国,NA,NA,NA,NA
BWA,zh_hk,博茨瓦納,博茨瓦納共和國,NA,NA,NA,NA
BWA,zh_mo,博茨瓦納,博茨瓦納共和國,NA,NA,NA,NA
BWA,zh_my,博茨瓦纳,博茨瓦纳共和国,NA,NA,NA,NA
BWA,zh_sg,博茨瓦纳,博茨瓦纳共和国,NA,NA,NA,NA
BWA,zh_tw,波札那,波札那共和國,NA,NA,NA,NA
CAF,zh_cn,中非共和国,中非共和国,中非,NA,NA,NA
CAF,zh_hk,中非共和國,中非共和國,中非,NA,NA,NA
CAF,zh_mo,中非共和國,中非共和國,中非,NA,NA,NA
CAF,zh_my,中非共和国,中非共和国,中非,NA,NA,NA
CAF,zh_sg,中非共和国,中非共和国,中非,NA,NA,NA
CAF,zh_tw,中非共和國,中非共和國,中非,NA,NA,NA
CAN,zh_cn,加拿大,加拿大,NA,NA,NA,NA
CAN,zh_hk,加拿大,加拿大,NA,NA,NA,NA
CAN,zh_mo,加拿大,加拿大,NA,NA,NA,NA
CAN,zh_my,加拿大,加拿大,NA,NA,NA,NA
CAN,zh_sg,加拿大,加拿大,NA,NA,NA,NA
CAN,zh_tw,加拿大,加拿大,NA,NA,NA,NA
CCK,zh_cn,科科斯（基林）群岛,科科斯（基林）群岛,NA,NA,NA,NA
CCK,zh_hk,科科斯（基林）群島,科科斯（基林）群島,NA,NA,NA,NA
CCK,zh_mo,科科斯（基林）群島,科科斯（基林）群島,NA,NA,NA,NA
CCK,zh_my,科科斯（基林）群岛,科科斯（基林）群岛,NA,NA,NA,NA
CCK,zh_sg,科科斯（基林）群岛,科科斯（基林）群岛,NA,NA,NA,NA
CCK,zh_tw,科科斯（基林）群島,科科斯（基林）群島,NA,NA,NA,NA
CHE,zh_cn,瑞士,瑞士联邦,NA,NA,NA,NA
CHE,zh_hk,瑞士,瑞士聯邦,NA,NA,NA,NA
CHE,zh_mo,瑞士,瑞士聯邦,NA,NA,NA,NA
CHE,zh_my,瑞士,瑞士联邦,NA,NA,NA,NA
CHE,zh_sg,瑞士,瑞士联邦,NA,NA,NA,NA
CHE,zh_tw,瑞士,瑞士聯邦,NA,NA,NA,NA
CHL,zh_cn,智利,智利共和国,NA,NA,NA,NA
CHL,zh_hk,智利,智利共和國,NA,NA,NA,NA
CHL,zh_mo,智利,智利共和國,NA,NA,NA,NA
CHL,zh_my,智利,智利共和国,NA,NA,NA,NA
CHL,zh_sg,智利,智利共和国,NA,NA,NA,NA
CHL,zh_tw,智利,智利共和國,NA,NA,NA,NA
CHN,zh_cn,中华人民共和国,中华人民共和国,中国,NA,NA,NA
CHN,zh_hk,中華人民共和國,中華人民共和國,中國,NA,NA,NA
CHN,zh_mo,中華人民共和國,中華人民共和國,中國,NA,NA,NA
CHN,zh_my,中华人民共和国,中华人民共和国,中国,NA,NA,NA
CHN,zh_sg,中华人民共和国,中华人民共和国,中国,NA,NA,NA
CHN,zh_tw,中華人民共和國,中華人民共和國,中國,NA,NA,NA
CIV,zh_cn,科特迪瓦,科特迪瓦共和国,NA,NA,NA,NA
CIV,zh_hk,科特迪瓦,科特迪瓦共和國,NA,NA,NA,NA
CIV,zh_mo,科特迪瓦,科特迪瓦共和國,NA,NA,NA,NA
CIV,zh_my,象牙海岸,象牙海岸共和国,NA,NA,NA,NA
CIV,zh_sg,象牙海岸,象牙海岸共和国,NA,NA,NA,NA
CIV,zh_tw,象牙海岸,象牙海岸共和國,NA,NA,NA,NA
CMR,zh_cn,喀麦隆,喀麦隆共和国,NA,NA,NA,NA
CMR,zh_hk,喀麥隆,喀麥隆共和國,NA,NA,NA,NA
CMR,zh_mo,喀麥隆,喀麥隆共和國,NA,NA,NA,NA
CMR,zh_my,喀麦隆,喀麦隆共和国,NA,NA,NA,NA
CMR,zh_sg,喀麦隆,喀麦隆共和国,NA,NA,NA,NA
CMR,zh_tw,喀麥隆,喀麥隆共和國,NA,NA,NA,NA
COD,zh_cn,刚果民主共和国,刚果民主共和国,民主刚果,刚果（金）,NA,NA
COD,zh_hk,剛果民主共和國,剛果民主共和國,民主剛果,剛果（金）,NA,NA
COD,zh_mo,剛果民主共和國,剛果民主共和國,民主剛果,剛果（金）,NA,NA
COD,zh_my,刚果民主共和国,刚果民主共和国,民主刚果,刚果（金）,NA,NA
COD,zh_sg,刚果民主共和国,刚果民主共和国,民主刚果,刚果（金）,NA,NA
COD,zh_tw,剛果民主共和國,剛果民主共和國,民主剛果,剛果（金）,NA,NA
COG,zh_cn,刚果共和国,刚果共和国,刚果,布拉柴维尔刚果,剛果（布）,NA
COG,zh_hk,剛果共和國,剛果共和國,剛果,布拉柴維爾剛果,剛果（布）,NA
COG,zh_mo,剛果共和國,剛果共和國,剛果,布拉柴維爾剛果,剛果（布）,NA
COG,zh_my,刚果共和国,刚果共和国,刚果,布拉柴维尔刚果,剛果（布）,NA
COG,zh_sg,刚果共和国,刚果共和国,刚果,布拉柴维尔刚果,剛果（布）,NA
COG,zh_tw,剛果共和國,剛果共和國,剛果,布拉薩市剛果,剛果（布拉薩市）,NA
COK,zh_cn,库克群岛,库克群岛,NA,NA,NA,NA
COK,zh_hk,庫克群島,庫克群島,NA,NA,NA,NA
COK,zh_mo,庫克群島,庫克群島,NA,NA,NA,NA
COK,zh_my,库克群岛,库克群岛,NA,NA,NA,NA
COK,zh_sg,库克群岛,库克群岛,NA,NA,NA,NA
COK,zh_tw,庫克群島,庫克群島,NA,NA,NA,NA
COL,zh_cn,哥伦比亚,哥伦比亚共和国,NA,NA,NA,NA
COL,zh_hk,哥倫比亞,哥倫比亞共和國,NA,NA,NA,NA
COL,zh_mo,哥倫比亞,哥倫比亞共和國,NA,NA,NA,NA
