iso3c,short_name_en,regex
NA,Abkhazia,阿(布哈|柏克)兹
AFG,Afghanistan,阿富汗
ALB,Albania,阿尔巴尼亚
DZA,Algeria,阿尔及利亚
AND,Andorra,安道尔
AGO,Angola,安哥拉
ATG,Antigua and Barbuda,"安(地卡|提瓜).{0,2}巴布达|安巴"
ARG,Argentina,阿根廷
ARM,Armenia,亚美尼亚
NA,Artsakh,阿尔察赫
AUS,Australia,澳(大利亚|洲)
AUT,Austria,奥地利
AZE,Azerbaijan,(亚|阿)塞拜(然|疆)
BHS,Bahamas,巴哈马
BHR,Bahrain,巴林
BGD,Bangladesh,孟加拉
BRB,Barbados,巴(贝|巴)多
BLR,Belarus,白俄
BEL,Belgium,比利时
BLZ,Belize,贝里斯|伯利兹
BEN,Benin,贝(南|宁)|达荷美
BTN,Bhutan,不丹
BOL,Bolivia,玻利维亚
BIH,Bosnia and Herzegovina,波(黑|赫)|波(士|斯)尼亚
BWA,Botswana,波札那|博茨瓦纳
BRA,Brazil,巴西
BRN,Brunei,(汶|文)莱
BGR,Bulgaria,保加利亚
BFA,Burkina Faso,布(吉|基)纳法索
BDI,Burundi,蒲隆地|布隆迪
KHM,Cambodia,柬埔寨
CMR,Cameroon,喀麦隆
CAN,Canada,加拿大
CPV,Cabo Verde,(维德|佛得)角
CAF,Central African Republic,中非
TCD,Chad,查德|乍得
CHL,Chile,智利
CHN,China,中国|中华人民共和国
COL,Colombia,哥伦比亚
COM,Comoros,(葛|科)摩
COG,Congo (Brazzaville),刚果共和国|布拉(萨|柴维尔).*刚果|刚果.*布拉(萨|柴维尔)|刚果.布
COD,Congo (Kinshasa),刚果民主共和国|民主刚果|金(沙萨|夏沙).*刚果|刚果.*金(沙萨|夏沙)|刚果.金
COK,Cook Islands,库克群岛
CRI,Costa Rica,哥斯(大|达)黎加
CIV,Côte d'Ivoire,象牙海岸|科特迪瓦
HRV,Croatia,克罗(埃|地)西?亚
CUB,Cuba,古巴
CYP,Cyprus,(?<!北)(赛|塞)(普勒|浦路)斯
CZE,Czechia,捷克
DNK,Denmark,丹麦
DJI,Djibouti,吉布(地|提)
DMA,Dominica,多米尼克
DOM,Dominican Republic,多(明|米)尼加
NA,Donetsk,顿(内次|涅茨)克
ECU,Ecuador,厄瓜多
EGY,Egypt,埃及
SLV,El Salvador,萨尔瓦多
GNQ,Equatorial Guinea,赤(几|畿)|赤道(几|畿)内亚
ERI,Eritrea,厄(利垂|立特里)亚
EST,Estonia,爱沙尼亚
SWZ,Eswatini,史瓦帝尼|斯威士兰
ETH,Ethiopia,衣索比亚|埃塞|(衣|埃)国
FJI,Fiji,斐济
FIN,Finland,芬兰
FRA,France,法国|法兰西共和国
GAB,Gabon,加(彭|蓬)
GMB,Gambia,(甘|冈)比亚
GEO,Georgia,乔治亚|格鲁吉亚
DEU,Germany,德国|德意志联邦共和国
GHA,Ghana,(加|迦)纳
GRC,Greece,希腊
GRD,Grenada,格(瑞那|林纳)达
GTM,Guatemala,(瓜|危)地马拉
GIN,Guinea,(?<!(赤道?|巴布亚.))(几|畿)内亚(?!比(索|绍))
GNB,Guinea-Bissau,(几|畿)内亚比(索|绍)
GUY,Guyana,(盖|圭)亚那
HTI,Haiti,海地
HND,Honduras,(宏|洪)都拉斯
HUN,Hungary,匈牙利
ISL,Iceland,冰岛
IND,India,印度(?!尼西亚)
IDN,Indonesia,印尼|印度尼西亚
IRN,Iran,伊朗
IRQ,Iraq,伊拉克
IRL,Ireland,(?<!北)爱尔兰
ISR,Israel,以色列
ITA,Italy,(义|意)大利
JAM,Jamaica,牙买加
JPN,Japan,日本
JOR,Jordan,约旦
KAZ,Kazakhstan,哈萨克
KEN,Kenya,肯(亚|雅)|肯尼亚
KIR,Kiribati,(吉|基)里巴斯
NA,Kosovo,科索沃
KWT,Kuwait,科威特
KGZ,Kyrgyzstan,吉尔吉斯
LAO,Laos,老挝|寮国|寮人民民主共和国
LVA,Latvia,拉脱维亚
LBN,Lebanon,黎巴嫩
LSO,Lesotho,(赖|莱)索托
LBR,Liberia,(赖比瑞|利比里)亚
LBY,Libya,利比亚
LIE,Liechtenstein,列支敦(斯|士)登
LTU,Lithuania,立陶宛
NA,Luhansk,卢(干|甘)斯克人民共和国
LUX,Luxembourg,卢森堡
MDG,Madagascar,马(达加斯加|拉加西|尔加什)
MWI,Malawi,马拉(威|维)
MYS,Malaysia,马来西亚
MDV,Maldives,马尔(代|地)夫
MLI,Mali,(?<!(圣|索))马(利|里)
MLT,Malta,马(尔|耳)他
MHL,Marshall Islands,马绍尔
MRT,Mauritania,(茅利|毛里)塔尼亚
MUS,Mauritius,(模|毛)里(西|求|裘)斯
MEX,Mexico,墨西哥
FSM,Micronesia,密克罗尼西亚|密联邦
MDA,Moldova,摩尔多瓦
MCO,Monaco,摩纳哥
MNG,Mongolia,蒙古
MNE,Montenegro,黑山|蒙特内哥罗
MAR,Morocco,摩洛哥
MOZ,Mozambique,莫(三|桑)比克
MMR,Myanmar,缅甸
"NAM",Namibia,纳米比亚
NRU,Nauru,(诺|瑙)鲁
NPL,Nepal,尼泊尔
NLD,Netherlands,荷兰|尼德兰
NZL,New Zealand,(新|纽)西兰
NIC,Nicaragua,尼加拉瓜
NER,Niger,尼日(?!利亚)
NGA,Nigeria,(奈及|尼日)利亚
NIU,Niue,纽(埃|威)
PRK,North Korea,朝鲜|北韩
NA,Northern Cyprus,北(赛|塞)(普勒|浦路)斯
MKD,North Macedonia,马其顿
NOR,Norway,挪威
OMN,Oman,阿曼
PAK,Pakistan,巴基斯坦
PLW,Palau,帛琉|帕劳
PSE,Palestine,巴勒斯坦
PAN,Panama,巴拿马
PNG,Papua New Guinea,巴布亚(纽|新)(几|畿)内亚|巴(纽|新)
PRY,Paraguay,巴拉圭
PER,Peru,秘鲁
PHL,Philippines,菲律宾
POL,Poland,波兰
PRT,Portugal,葡萄牙|葡国
NA,Pridnestrovie,聂斯特(河沿岸|里亚)|德涅斯特(河沿岸|里亚)
QAT,Qatar,卡(达|塔)
ROU,Romania,罗马尼亚
RUS,Russia,(?<!白)俄罗斯
RWA,Rwanda,卢(安达|旺达)
KNA,Saint Christopher and Nevis,"(?<!多米尼)克国|圣尼|圣克里斯(多福|托弗).{0,2}尼维斯|圣基茨.{0,2}尼维斯|圣吉斯纳域斯"
LCA,Saint Lucia,圣(露|卢)西亚
VCT,Saint Vincent and the Grenadines,圣文森
WSM,Samoa,萨摩亚
SMR,San Marino,圣马(利|力)诺
STP,São Tomé and Príncipe,"圣多美.{0,2}普林西比|圣普"
SAU,Saudi Arabia,沙(特|地|乌地)
SEN,Senegal,塞内加尔
SRB,Serbia,塞尔维亚
SYC,Seychelles,塞(席|舌)尔
SLE,Sierra Leone,塞拉利昂|狮子山
SGP,Singapore,(新|星)加坡|狮城|星(国|洲)
SVK,Slovakia,斯洛伐克
SVN,Slovenia,斯洛(维|文)尼亚
SLB,Solomon Islands,(索|所)罗门群岛
SOM,Somalia,索马(利|里)(?!兰)
NA,Somaliland,索马(利|里)兰
ZAF,South Africa,南非
KOR,South Korea,大韩民国|韩国|南韩
NA,South Ossetia,南奥塞(提亚|梯)
SSD,South Sudan,南苏丹
ESP,Spain,西班牙|(日斯|以西)(巴|把)(尼|你)亚
LKA,Sri Lanka,斯里兰卡|锡兰
SDN,Sudan,(?<!(阿曼|南))苏丹
SUR,Suriname,苏(利|里)南
SWE,Sweden,瑞典
CHE,Switzerland,瑞士
SYR,Syria,叙利亚
TWN,Taiwan,(台|臺)湾|中华民国
TJK,Tajikistan,塔吉克
TZA,Tanzania,坦(尚|桑)尼亚
THA,Thailand,泰王?国|暹罗
TLS,Timor-Leste,东帝汶
TGO,Togo,多哥
TON,Tonga,(东|汤)加
TTO,Trinidad and Tobago,(千里|特立尼)达|特多
TUN,Tunisia,突尼(西亚|斯)
TUR,Turkey,"(?<!北(赛|塞)(普|浦).{0,5})土耳其"
TKM,Turkmenistan,土库曼
TUV,Tuvalu,(吐|图)瓦(鲁|卢)
UGA,Uganda,乌干达
UKR,Ukraine,乌克兰
ARE,United Arab Emirates,阿联|阿拉伯联合
GBR,United Kingdom,英国|联合王国|不列颠
USA,United States,美国|美利坚合众国
URY,Uruguay,乌拉圭
UZB,Uzbekistan,乌兹别克
VUT,Vanuatu,万那杜|瓦努阿图
VAT,Vatican City,梵(蒂|谛)冈
VEN,Venezuela,委内瑞拉
VNM,Vietnam,越南
ESH,Western Sahara,西撒哈拉|撒哈?拉.*民主共和国
YEM,Yemen,(也|叶)门
ZMB,Zambia,(尚|赞)比亚
ZWE,Zimbabwe,辛巴威|津巴布韦
